ssp;label;pic;Count;Total Area;Average Size;%Area;Circ.;Solidity
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif;56;31.259.809;558.211;5.619;0.782;0.948
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x10 010-1.tif;48;34.399.975;716.666;6.184;0.792;0.952
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x10 004-1.tif;53;31.697.362;598.063;5.657;0.792;0.951
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x10 007-1.tif;54;32.429.772;600.551;5.848;0.751;0.956
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x10 001-1.tif;69;34.008.285;492.874;6.28;0.785;0.95
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x10 002-1.tif;41;27.148.356;662.155;4.846;0.793;0.933
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x10 003-1.tif;40;25.388.941;634.724;4.532;0.79;0.952
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x10 005-1.tif;36;25.267.817;701.884;4.51;0.797;0.959
Phoradendron perrotettii;Phoradendron perrotettii 1;Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif;81;41.642.824;514.109;7.433;0.803;0.952
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x10 001-1.tif;43;23.890.924;555.603;4.308;0.805;0.952
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x10 002-1.tif;53;34.807.243;656.74;6.253;0.797;0.956
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x10 003-1.tif;50;28837.51;576.75;5.18;0.793;0.954
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x10 004-1.tif;33;21.462.915;650.391;3.856;0.782;0.951
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x10 005-1.tif;28;20.866.976;745.249;3.748;0.748;0.948
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x10 006-1.tif;46;30.470.243;662.397;5.474;0.722;0.951
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x10 007-1.tif;46;27.223.387;591.813;4.89;0.743;0.95
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x10 008-1.tif;37;24.966.178;674.762;4.485;0.778;0.953
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x10 009-1.tif;47;33.538.855;713.593;6.025;0.766;0.952
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendeon perrotettii 2 - GC4841 x10 011-1.tif;54;32.336.224;598.819;5.809;0.736;0.949
Phoradendron perrotettii;Phoradendron perrotettii 2;Phoradendron Perrottettii 3- GC4841 x10 001.tif;49;34.276.022;699.511;6.175;0.772;0.952
Phoradendron perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 002.tif;49;36.984.839;754.793;6.663;0.773;0.958
Phoradendron perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 003.tif;49;41.979.584;856.726;7.563;0.795;0.96
Phoradendron perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 004.tif;52;46349.57;891.338;8.35;0.757;0.956
Phoradendron perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 005.tif;56;47.788.888;853.373;8.61;0.783;0.956
Phoradendron perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 001.tif;55;36328.03;660.51;6.545;0.755;0.951
Phoradendron perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 006.tif;61;48.187.636;789.961;8.682;0.758;0.955
Phoradendron perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 007.tif;46;27.770.783;603.713;5.003;0.742;0.945
Phoradendron perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 008.tif;44;41.636.611;946.287;7.501;0.716;0.949
Phoradendron perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 009.tif;54;42.248.051;782.371;7.611;0.754;0.957
Phoradendron perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 010.tif;57;48.151.424;844.762;8.675;0.801;0.962
Phoradendron perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 011.tif;48;36.163.619;753.409;6.515;0.795;0.96
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 006.tif;102;136.355.484;1.336.818;6.132;0.805;0.947
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 007.tif;85;119.162.836;1.401.916;5.359;0.797;0.946
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 008.tif;72;97.008.184;1.347.336;4.362;0.805;0.945
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 009.tif;93;118.189.699;1.270.857;5.315;0.786;0.942
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 010.tif;111;133.391.234;1.201.723;5.998;0.793;0.941
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 011.tif;95;126.330.176;1.329.791;5.681;0.788;0.942
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 001.tif;93;142.152.792;1.528.525;6.392;0.784;0.943
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 002.tif;81;120.278.789;1.484.923;5.409;0.795;0.945
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 003.tif;91;129.369.154;1.421.639;5.818;0.809;0.945
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 004.tif;72;86.673.995;1.203.805;3.898;0.827;0.946
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 005.tif;83;126.775.229;1.527.412;5.701;0.761;0.936
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 001-1.tif;66;84.226.206;1.276.155;3.838;0.788;0.945
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 002-1.tif;38;62.134.658;1.635.123;4.419;0.806;0.947
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 003-1.tif;74;88748.14;1.199.299;4.044;0.801;0.945
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 004-1.tif;67;80.323.693;1.198.861;3.661;0.811;0.946
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 005-1.tif;54;70.319.972;1.302.222;3.205;0.771;0.946
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 006-1.tif;48;71.146.973;1.482.229;5.149;0.79;0.951
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 007-1.tif;79;110.206.982;1.395.025;5.405;0.775;0.947
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 008-1.tif;77;94.819.455;1.231.421;5.34;0.79;0.933
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 009-1.tif;67;90.813.981;1.355.433;7.799;0.787;0.944
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 010-1.tif;74;75.663.925;1.022.485;3.597;0.811;0.943
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 006-1.tif;64;80.810.261;1262.66;3.619;0.796;0.948
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 007-1.tif;63;95.138.298;1.510.132;4.261;0.801;0.956
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 010-1.tif;63;90.184.597;1.431.502;4.039;0.784;0.952
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 011-1.tif;66;92.542.712;1.402.162;4.144;0.773;0.95
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 012-1.tif;80;118217.93;1.477.724;5.294;0.759;0.946
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 001-1.tif;57;88.480.775;1.552.294;3.962;0.823;0.952
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 002-1.tif;66;104632.2;1.585.336;4.686;0.825;0.952
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 003-1.tif;66;104.771.694;1587.45;4.692;0.815;0.95
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 004-1.tif;57;86.056.236;1.509.759;3.854;0.827;0.952
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 005-1.tif;53;72.316.067;1.364.454;3.238;0.802;0.949
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 006-1.tif;60;40.206.036;670.101;8.532;0.811;0.956
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 007-1.tif;62;36239.75;584.512;7.691;0.851;0.962
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 008-1.tif;71;34.295.942;483.041;7.278;0.793;0.95
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 009-1.tif;65;38707.18;595.495;8.214;0.793;0.95
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 010-1.tif;62;27.312.799;440.529;5.796;0.759;0.937
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 001-1.tif;52;28.658.897;551.133;6.082;0.839;0.956
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 002-1.tif;53;30.499.896;575.47;6.473;0.795;0.944
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 003-1.tif;55;30214.36;549.352;6.412;0.85;0.961
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 004-1.tif;75;31.749.428;423.326;6.738;0.771;0.91
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 1;Struthanthus rhynchophyllus - VSB25 x10 005-1.tif;44;23657.44;537.669;5.02;0.834;0.947
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 001-1.tif;87;40.346.306;463.751;8.562;0.806;0.942
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 002-1.tif;106;41.446.826;391.008;8.796;0.817;0.939
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 003-1.tif;96;43.569.199;453.846;9.246;0.792;0.933
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 004-1.tif;52;32329.24;621.716;6.861;0.783;0.944
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 005-1.tif;66;42300.52;640.917;8.977;0.756;0.922
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 006-1.tif;75;34.877.836;465.038;7.402;0.752;0.919
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 007-1.tif;87;46521.54;534.73;9.873;0.775;0.94
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 008-1.tif;138;43865.14;317.863;9.309;0.693;0.884
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 009-1.tif;101;48.951.093;484.664;10.388;0.789;0.943
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 2;Struthanthus rhynchophyllus - VSB26 x10 011-1.tif;76;26339.23;346.569;5.59;0.59;0.833
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 006-1.tif;76;29.270.455;385.138;6.212;0.633;0.885
Struthanthus rhynchophyllus;Struthanthus rhynchophyllus 3;Struthanthus rhynchophyllus - VSB27 x10 007-1.tif;68;32.912.873;484.013;6.985;0.689;0.915
