"","indiv_tested","difference_observed","CI95","pvalue","Rdiff","trait"
"mean of x...1","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",-1.393,"(-1.94, -0.85)","<0.0001",-24.929,"WallThickness"
"mean of x...2","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",0.035,"(-0.38, 0.45)","0.86498",0.788,"WallThickness"
"mean of x...3","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",-0.442,"(-0.99, 0.11)","0.11374",-9.688,"WallThickness"
"mean of x...4","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-0.405,"(-0.78, -0.03)","0.0345",-8.862,"WallThickness"
"mean of x...5","Phoradendron perrotettii 2 vs Tapirira guianensis 2",-0.391,"(-0.74, -0.04)","0.02835",-8.873,"WallThickness"
"mean of x...6","Phoradendron perrotettii 3 vs Tapirira guianensis 3",0.214,"(-0.16, 0.59)","0.25773",5.981,"WallThickness"
"mean of x...7","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-1.237,"(-1.81, -0.66)","<0.0001",-24.646,"WallThickness"
"mean of x...8","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",-0.082,"(-0.87, 0.7)","0.83368",-1.596,"WallThickness"
"mean of x...9","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",-0.669,"(-1.11, -0.23)","0.00366",-13.281,"WallThickness"
"mean of x...10","Viscum album 1 vs Populus nigra 1",2.103,"(1.74, 2.47)","<0.0001",105.912,"WallThickness"
"mean of x...11","Viscum album 2 vs Populus nigra 2",2.37,"(2.04, 2.7)","<0.0001",211.773,"WallThickness"
"mean of x...12","Viscum album 3 vs Populus nigra 3",3.513,"(3.19, 3.84)","<0.0001",359.765,"WallThickness"
"mean of x...13","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",-31.961,"(-35.39, -28.53)","<0.0001",-26.075,"VesselDiameter"
"mean of x...14","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",-33.055,"(-36.54, -29.57)","<0.0001",-29.333,"VesselDiameter"
"mean of x...15","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",-6.519,"(-11.63, -1.41)","0.01253",-6.425,"VesselDiameter"
"mean of x...16","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-40.714,"(-43.15, -38.28)","<0.0001",-39.597,"VesselDiameter"
"mean of x...17","Phoradendron perrotettii 2 vs Tapirira guianensis 2",3.471,"(1.5, 5.44)","0.00058",5.657,"VesselDiameter"
"mean of x...18","Phoradendron perrotettii 3 vs Tapirira guianensis 3",-26.45,"(-28.59, -24.31)","<0.0001",-26.617,"VesselDiameter"
"mean of x...19","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-12.885,"(-17.22, -8.55)","<0.0001",-18.24,"VesselDiameter"
"mean of x...20","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",-66.513,"(-73.42, -59.61)","<0.0001",-55.246,"VesselDiameter"
"mean of x...21","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",-23.93,"(-30.63, -17.23)","<0.0001",-31.899,"VesselDiameter"
"mean of x...22","Viscum album 1 vs Populus nigra 1",-22.293,"(-22.92, -21.66)","<0.0001",-43.984,"VesselDiameter"
"mean of x...23","Viscum album 2 vs Populus nigra 2",-12.746,"(-13.56, -11.93)","<0.0001",-29.798,"VesselDiameter"
"mean of x...24","Viscum album 3 vs Populus nigra 3",-14.758,"(-15.56, -13.96)","<0.0001",-34.633,"VesselDiameter"
"mean of x...25","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",-65.254,"(-67.9, -62.6)","<0.0001",-34.203,"VesselDTop"
"mean of x...26","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",-52.776,"(-55.42, -50.13)","<0.0001",-30.602,"VesselDTop"
"mean of x...27","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",-42.707,"(-52.26, -33.15)","<0.0001",-24.8,"VesselDTop"
"mean of x...28","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-72.594,"(-74.58, -70.61)","<0.0001",-45.005,"VesselDTop"
"mean of x...29","Phoradendron perrotettii 2 vs Tapirira guianensis 2",-16.488,"(-18.9, -14.08)","<0.0001",-15.539,"VesselDTop"
"mean of x...30","Phoradendron perrotettii 3 vs Tapirira guianensis 3",-57.905,"(-59.68, -56.13)","<0.0001",-37.88,"VesselDTop"
"mean of x...31","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-78.249,"(-86.58, -69.91)","<0.0001",-49.289,"VesselDTop"
"mean of x...32","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",-152.011,"(-160.66, -143.36)","<0.0001",-65.387,"VesselDTop"
"mean of x...33","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",-108.11,"(-114.12, -102.1)","<0.0001",-59.962,"VesselDTop"
"mean of x...34","Viscum album 1 vs Populus nigra 1",-36.929,"(-37.88, -35.98)","<0.0001",-48.748,"VesselDTop"
"mean of x...35","Viscum album 2 vs Populus nigra 2",-33.823,"(-34.71, -32.94)","<0.0001",-44.907,"VesselDTop"
"mean of x...36","Viscum album 3 vs Populus nigra 3",-34.731,"(-35.72, -33.74)","<0.0001",-47.682,"VesselDTop"
"mean of x...37","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",-43.332,"(-51.02, -35.64)","<0.0001",-30.55,"HydraulicDiameter"
"mean of x...38","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",-35.804,"(-43.11, -28.5)","<0.0001",-27.829,"HydraulicDiameter"
"mean of x...39","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",-17.735,"(-35.47, 0)","0.04997",-14.893,"HydraulicDiameter"
"mean of x...40","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-51.075,"(-55.15, -47)","<0.0001",-42.801,"HydraulicDiameter"
"mean of x...41","Phoradendron perrotettii 2 vs Tapirira guianensis 2",-1.5,"(-10.72, 7.72)","0.72445",-2.101,"HydraulicDiameter"
"mean of x...42","Phoradendron perrotettii 3 vs Tapirira guianensis 3",-36.033,"(-41.05, -31.02)","<0.0001",-31.851,"HydraulicDiameter"
"mean of x...43","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-39.694,"(-50.88, -28.51)","<0.0001",-39.006,"HydraulicDiameter"
"mean of x...44","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",-100.718,"(-114.04, -87.39)","<0.0001",-62.492,"HydraulicDiameter"
"mean of x...45","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",-69.018,"(-81.33, -56.71)","<0.0001",-55.475,"HydraulicDiameter"
"mean of x...46","Viscum album 1 vs Populus nigra 1",-25.777,"(-29.6, -21.96)","<0.0001",-46.201,"HydraulicDiameter"
"mean of x...47","Viscum album 2 vs Populus nigra 2",-20.293,"(-25.64, -14.94)","<0.0001",-38.962,"HydraulicDiameter"
"mean of x...48","Viscum album 3 vs Populus nigra 3",-21.197,"(-24.07, -18.32)","<0.0001",-41.779,"HydraulicDiameter"
"mean of x...49","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",2.123,"(-0.68, 4.93)","0.12963",11.795,"VesselDensity"
"mean of x...50","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",4.178,"(-1.24, 9.6)","0.12255",26.132,"VesselDensity"
"mean of x...51","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",-6.767,"(-11.19, -2.35)","0.00661",-31.846,"VesselDensity"
"mean of x...52","Phoradendron perrotettii 1 vs Tapirira guianensis 1",6.473,"(-1.74, 14.69)","0.11563",16.089,"VesselDensity"
"mean of x...53","Phoradendron perrotettii 2 vs Tapirira guianensis 2",-68.221,"(-94.97, -41.47)","0.00024",-63.645,"VesselDensity"
"mean of x...54","Phoradendron perrotettii 3 vs Tapirira guianensis 3",-11.832,"(-16.34, -7.33)","<0.0001",-22.164,"VesselDensity"
"mean of x...55","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",17.576,"(7.9, 27.25)","0.00158",40.383,"VesselDensity"
"mean of x...56","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",46.105,"(30.42, 61.79)","<0.0001",113.991,"VesselDensity"
"mean of x...57","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",20.759,"(2.42, 39.1)","0.02908",62.641,"VesselDensity"
"mean of x...58","Viscum album 1 vs Populus nigra 1",-60.733,"(-87.43, -34.04)","0.00015",-28.031,"VesselDensity"
"mean of x...59","Viscum album 2 vs Populus nigra 2",-4.796,"(-35.5, 25.9)","0.74435",-2.96,"VesselDensity"
"mean of x...60","Viscum album 3 vs Populus nigra 3",20.818,"(-3.68, 45.32)","0.09104",14.301,"VesselDensity"
"mean of x...61","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",-4.174,"(-5.34, -3.01)","<0.0001",-41.828,"VesselFraction"
"mean of x...62","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",-1.945,"(-3.7, -0.19)","0.03236",-26.984,"VesselFraction"
"mean of x...63","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",-3.874,"(-5.78, -1.96)","0.00112",-47.383,"VesselFraction"
"mean of x...64","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-9.033,"(-11.02, -7.05)","<0.0001",-59.241,"VesselFraction"
"mean of x...65","Phoradendron perrotettii 2 vs Tapirira guianensis 2",-8.473,"(-10.79, -6.15)","<0.0001",-60.215,"VesselFraction"
"mean of x...66","Phoradendron perrotettii 3 vs Tapirira guianensis 3",-10.093,"(-11.9, -8.29)","<0.0001",-56.001,"VesselFraction"
"mean of x...67","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-7.12,"(-8.85, -5.39)","<0.0001",-52.051,"VesselFraction"
"mean of x...68","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",-16.627,"(-19.42, -13.83)","<0.0001",-66.167,"VesselFraction"
"mean of x...69","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",-5.012,"(-7.36, -2.66)","0.00045",-49.931,"VesselFraction"
"mean of x...70","Viscum album 1 vs Populus nigra 1",-17.099,"(-18.92, -15.28)","<0.0001",-82.024,"VesselFraction"
"mean of x...71","Viscum album 2 vs Populus nigra 2",-6.666,"(-7.77, -5.57)","<0.0001",-60.195,"VesselFraction"
"mean of x...72","Viscum album 3 vs Populus nigra 3",-5.846,"(-7.31, -4.38)","<0.0001",-60.015,"VesselFraction"
"mean of x...73","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",-133.778,"(-162.75, -104.81)","<0.0001",-74.326,"Kmax"
"mean of x...74","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",-65.736,"(-86.9, -44.58)","<0.0001",-63.968,"Kmax"
"mean of x...75","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",-70.967,"(-114.12, -27.81)","0.00465",-65.285,"Kmax"
"mean of x...76","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-176.396,"(-210.81, -141.98)","<0.0001",-87.86,"Kmax"
"mean of x...77","Phoradendron perrotettii 2 vs Tapirira guianensis 2",-45.742,"(-74.61, -16.88)","0.00581",-66.836,"Kmax"
"mean of x...78","Phoradendron perrotettii 3 vs Tapirira guianensis 3",-180.966,"(-216.86, -145.07)","<0.0001",-83.202,"Kmax"
"mean of x...79","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-93.524,"(-134.95, -52.1)","0.00061",-80.564,"Kmax"
"mean of x...80","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",-615.948,"(-720.84, -511.05)","<0.0001",-95.644,"Kmax"
"mean of x...81","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",-154.115,"(-198.69, -109.54)","<0.0001",-92.269,"Kmax"
"mean of x...82","Viscum album 1 vs Populus nigra 1",-49.682,"(-61.95, -37.42)","<0.0001",-94.193,"Kmax"
"mean of x...83","Viscum album 2 vs Populus nigra 2",-25.073,"(-32.71, -17.44)","<0.0001",-86.237,"Kmax"
"mean of x...84","Viscum album 3 vs Populus nigra 3",-21.013,"(-26.9, -15.13)","<0.0001",-87.001,"Kmax"
"mean of x...85","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",8.794,"(0.22, 17.36)","0.04488",14.825,"PitFraction"
"mean of x...86","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",10.756,"(2.27, 19.24)","0.01596",18.009,"PitFraction"
"mean of x...87","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",8.876,"(1.17, 16.58)","0.0262",13.233,"PitFraction"
"mean of x...88","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-10.885,"(-13.41, -8.36)","<0.0001",-13.804,"PitFraction"
"mean of x...89","Phoradendron perrotettii 2 vs Tapirira guianensis 2",1.776,"(-5.67, 9.22)","0.62327",2.836,"PitFraction"
"mean of x...90","Phoradendron perrotettii 3 vs Tapirira guianensis 3",-3.565,"(-8.28, 1.15)","0.12961",-5.005,"PitFraction"
"mean of x...91","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-10.038,"(-14.45, -5.62)","0.00015",-13.953,"PitFraction"
"mean of x...92","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",-14.393,"(-21.98, -6.81)","0.00169",-20.646,"PitFraction"
"mean of x...93","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",-7.28,"(-18.49, 3.93)","0.1885",-12.294,"PitFraction"
"mean of x...94","Viscum album 1 vs Populus nigra 1",-30.79,"(-36.54, -25.04)","<0.0001",-44.385,"PitFraction"
"mean of x...95","Viscum album 2 vs Populus nigra 2",-45.61,"(-49.13, -42.09)","<0.0001",-61.573,"PitFraction"
"mean of x...96","Viscum album 3 vs Populus nigra 3",-48.381,"(-51.62, -45.14)","<0.0001",-65.585,"PitFraction"
"mean of x...97","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",-1.073,"(-1.38, -0.76)","<0.0001",-23.733,"PitOpening"
"mean of x...98","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",-1.891,"(-2.22, -1.56)","<0.0001",-40.272,"PitOpening"
"mean of x...99","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",-0.837,"(-1.13, -0.54)","<0.0001",-25.259,"PitOpening"
"mean of x...100","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-0.423,"(-0.88, 0.04)","0.06994",-10.853,"PitOpening"
"mean of x...101","Phoradendron perrotettii 2 vs Tapirira guianensis 2",-0.306,"(-0.59, -0.02)","0.03772",-8.141,"PitOpening"
"mean of x...102","Phoradendron perrotettii 3 vs Tapirira guianensis 3",-0.206,"(-0.47, 0.06)","0.12169",-6.695,"PitOpening"
"mean of x...103","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-1.604,"(-2.01, -1.2)","<0.0001",-41.633,"PitOpening"
"mean of x...104","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",-2.298,"(-2.52, -2.08)","<0.0001",-49.967,"PitOpening"
"mean of x...105","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",-1.929,"(-2.18, -1.68)","<0.0001",-48.823,"PitOpening"
"mean of x...106","Viscum album 1 vs Populus nigra 1",-1.284,"(-1.58, -0.99)","<0.0001",-44.917,"PitOpening"
"mean of x...107","Viscum album 2 vs Populus nigra 2",-0.542,"(-0.76, -0.32)","<0.0001",-23.639,"PitOpening"
"mean of x...108","Viscum album 3 vs Populus nigra 3",-1.791,"(-2.06, -1.53)","<0.0001",-59.021,"PitOpening"
"mean of x...109","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",1.491,"(1.12, 1.86)","<0.0001",19.309,"PitDiameter"
"mean of x...110","Psittacanthus robustus 2 vs Vochysia thyrsoidea 2",3.274,"(2.78, 3.77)","<0.0001",51.029,"PitDiameter"
"mean of x...111","Psittacanthus robustus 3 vs Vochysia thyrsoidea 3",3.324,"(2.91, 3.74)","<0.0001",56.567,"PitDiameter"
"mean of x...112","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-3.617,"(-4.18, -3.06)","<0.0001",-43.049,"PitDiameter"
"mean of x...113","Phoradendron perrotettii 2 vs Tapirira guianensis 2",-2.081,"(-2.38, -1.78)","<0.0001",-34.192,"PitDiameter"
"mean of x...114","Phoradendron perrotettii 3 vs Tapirira guianensis 3",-3.471,"(-3.79, -3.15)","<0.0001",-44.158,"PitDiameter"
"mean of x...115","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-2.057,"(-2.31, -1.8)","<0.0001",-27.812,"PitDiameter"
"mean of x...116","Struthanthus rhynchophyllus 2 vs Tipuana tipu 2",-3.225,"(-3.58, -2.88)","<0.0001",-37.762,"PitDiameter"
"mean of x...117","Struthanthus rhynchophyllus 3 vs Tipuana tipu 3",-2.076,"(-2.43, -1.72)","<0.0001",-30.766,"PitDiameter"
"mean of x...118","Viscum album 1 vs Populus nigra 1",-2.914,"(-3.34, -2.49)","<0.0001",-41.656,"PitDiameter"
"mean of x...119","Viscum album 2 vs Populus nigra 2",-4.635,"(-4.98, -4.29)","<0.0001",-55.854,"PitDiameter"
"mean of x...120","Viscum album 3 vs Populus nigra 3",-4.198,"(-4.51, -3.88)","<0.0001",-53.528,"PitDiameter"
"mean of x...121","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",-291.724,"(-460.8, -122.65)","0.00103",-25.994,"pcd"
"mean of x...122","Phoradendron perrotettii 1 vs Tapirira guianensis 1",-443.367,"(-559.62, -327.11)","<0.0001",-44.66,"pcd"
"mean of x...123","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",-282.1,"(-420.68, -143.52)","0.00022",-36.218,"pcd"
"mean of x...124","Viscum album 1 vs Populus nigra 1",-424.933,"(-514.85, -335.02)","<0.0001",-61.286,"pcd"
"mean of x...125","Psittacanthus robustus 1 vs Vochysia thyrsoidea 1",285.111,"(235.53, 334.69)","<0.0001",84.072,"Tpm"
"mean of x...126","Phoradendron perrotettii 1 vs Tapirira guianensis 1",141.167,"(110.42, 171.91)","<0.0001",43.759,"Tpm"
"mean of x...127","Struthanthus rhynchophyllus 1 vs Tipuana tipu 1",420.439,"(375.54, 465.34)","<0.0001",119.22,"Tpm"
"mean of x...128","Viscum album 1 vs Populus nigra 1",327.086,"(280.94, 373.23)","<0.0001",144.001,"Tpm"
